Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,1110,0,4,4.171386725260867,1.3689170591533184,29.157584067434072,292.0,18.789527241386917,0.0,4,5,5,5,5,6,21,25,28,29,29
GET,/api/feed/hot,2191,0,10,15.268916140906835,4.080041777342558,177.75875004008412,1586.0,37.08815692421508,0.0,10,13,16,18,26,41,75,110,180,180,180
GET,/api/feed/recommend,3360,0,11,16.544008103942144,4.789582919329405,177.40995809435844,9091.0,56.876406784738776,0.0,11,14,17,20,28,43,87,100,180,180,180
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,405,0,6,6.932375245486145,2.7295839972794056,46.44904192537069,118.0,6.855638317803335,0.0,6,7,7,8,10,15,27,38,46,46,46
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,444,0,8,9.238776645983931,4.812208004295826,34.46662472561002,541.0,7.5158108965547665,0.0,8,10,10,11,12,16,23,27,34,34,34
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,370,0,8,9.400141422913686,4.735917318612337,33.7798330001533,541.0,6.263175747128972,0.0,8,10,10,11,13,16,24,28,34,34,34
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,442,0,8,9.190406552326289,4.3440829031169415,45.72816705331206,535.0,7.481955892516232,0.0,8,9,10,10,12,14,29,33,46,46,46
GET,/api/search/videos?q=Python,447,0,6,7.005995040513592,2.861832734197378,47.660958021879196,118.0,7.566593402612569,0.0,6,7,7,8,10,14,28,36,48,48,48
,Aggregated,8769,0,9,12.687173266047058,1.3689170591533184,177.75875004008412,4005.2669631656972,148.43726520695665,0.0,9,11,14,15,23,32,55,94,180,180,180
