Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,497,0,3,3.486417325764475,1.2613753788173199,30.53699992597103,292.0,8.399236803227728,0.0,3,4,4,4,4,5,7,19,31,31,31
GET,/api/feed/hot,904,0,110.0,154.14915968863855,3.5619577392935753,652.051083277911,1586.0,15.277485050538964,0.0,120,170,230,270,370,440,530,580,650,650,650
GET,/api/feed/recommend,1451,0,140.0,184.46337637478047,31.97187464684248,689.4194581545889,9091.0,24.52171549594252,0.0,140,220,270,300,400,460,530,560,680,690,690
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,216,0,4,5.04805710753081,2.3724581114947796,29.901625122874975,118.0,3.6503725341995756,0.0,4,5,5,6,6,9,20,27,30,30,30
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,187,0,8,8.543172432856764,5.2926247008144855,50.64725037664175,541.0,3.1602762217375955,0.0,8,9,9,9,10,13,16,17,51,51,51
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,193,0,8,9.040582925081253,5.839458201080561,50.61866622418165,541.0,3.261675458798695,0.0,8,9,9,9,12,13,25,40,51,51,51
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,194,0,8,9.345601598453737,5.591374821960926,31.706625130027533,535.0,3.2785753316422115,0.0,8,9,10,10,12,16,27,31,32,32,32
GET,/api/search/videos?q=Python,206,0,4,4.821057501475065,2.5577498599886894,28.444917406886816,118.0,3.48137380576441,0.0,4,5,5,6,6,8,10,17,28,28,28
,Aggregated,3848,0,47,108.10262981532122,1.2613753788173199,689.4194581545889,3931.6722972972975,65.0307107018517,0.0,47,110,160,210,320,410,490,540,640,690,690
