Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,48,0,4,4.487799499959995,1.8878327682614326,10.686875320971012,292.0,1.6465396516163104,0.0,4,5,5,5,6,10,11,11,11,11,11
GET,/api/feed/hot,118,0,9,19.155701665776007,4.723750054836273,92.78650023043156,1586.0,4.04774331022343,0.0,9,11,21,30,54,68,77,81,93,93,93
GET,/api/feed/recommend,165,0,55,62.92941443847887,34.07958336174488,172.28483315557241,9091.0,5.6599800524310675,0.0,55,58,64,70,98,110,160,170,170,170,170
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,19,0,6,6.506956133403276,3.785375040024519,15.860165935009718,118.0,0.6517552787647896,0.0,6,7,7,8,10,16,16,16,16,16,16
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,29,0,11,10.689209745233429,7.073500193655491,15.88854193687439,541.0,0.994784372851521,0.0,11,12,12,12,14,15,16,16,16,16,16
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,22,0,10,11.544363742524927,6.837708409875631,27.368249837309122,541.0,0.754664006990809,0.0,11,11,12,12,14,23,27,27,27,27,27
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,16,0,9,9.898333344608545,6.874667014926672,14.319458045065403,535.0,0.5488465505387702,0.0,9,11,11,11,14,14,14,14,14,14,14
GET,/api/search/videos?q=Python,16,0,6,6.897229235619307,3.879415802657604,21.10354183241725,118.0,0.5488465505387702,0.0,6,7,8,8,9,21,21,21,21,21,21
,Aggregated,433,0,12,31.906385237123068,1.8878327682614326,172.28483315557241,4021.847575057737,14.853159773955468,0.0,12,49,54,56,66,89,110,150,170,170,170
