Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,487,0,3,3.778993621567987,1.2709996663033962,26.541334111243486,292.0,8.22760952854433,0.0,3,4,4,4,5,5,20,24,27,27,27
GET,/api/feed/hot,992,0,240.0,257.354303991193,3.631290979683399,1105.4902924224734,1586.0,16.759319614611858,0.0,240,320,380,410,500,560,660,810,1100,1100,1100
GET,/api/feed/recommend,1510,2,270.0,280.3986012618002,20.24229196831584,1119.7487921454012,9078.958940397351,25.51065788111281,0.033788950835911005,270,350,400,420,500,590,690,780,1000,1100,1100
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,227,0,4,4.786809270438381,2.5911671109497547,17.54250004887581,118.0,3.835045919875899,0.0,4,5,5,6,6,9,10,11,18,18,18
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,195,0,8,9.462616002808014,5.090458784252405,48.87449974194169,541.0,3.2944227065013227,0.0,8,9,9,10,13,15,36,45,49,49,49
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,228,0,8,9.7794703354961,5.561875179409981,50.01999996602535,541.0,3.8519403952938545,0.0,8,9,9,10,12,17,37,45,50,50,50
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,213,0,8,8.988282638886165,5.816583056002855,56.23162491247058,535.0,3.598523264024522,0.0,8,9,9,10,12,13,17,28,56,56,56
GET,/api/search/videos?q=Python,204,0,4,5.296683836016147,2.4859169498085976,41.787166614085436,118.0,3.4464729852629223,0.0,4,5,6,6,7,10,21,27,42,42,42
,Aggregated,4056,2,93,169.79642261448362,1.2709996663033962,1119.7487921454012,3900.0,68.52399229522752,0.033788950835911005,94,230,300,350,440,530,630,710,930,1100,1100
