Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,71,0,6,6.140957182856575,2.804832998663187,20.1243749979767,292.0,2.4418865353790165,0.0,6,6,7,7,8,11,13,20,20,20,20
GET,/api/feed/hot,101,0,14,13.345825158539089,6.320666001556674,30.432749997999053,1586.0,3.4736695784969105,0.0,14,15,15,15,17,20,25,27,30,30,30
GET,/api/feed/recommend,170,0,12,12.31466836462085,4.511750001256587,52.908166999259265,1586.0,5.846770577668067,0.0,12,13,14,14,17,19,26,30,53,53,53
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,21,0,10,10.451783857119846,4.665542001021095,19.472874999337364,118.0,0.722248130182526,0.0,10,11,11,13,16,18,19,19,19,19,19
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,26,0,12,13.315818885110694,6.864582999696722,35.258583000540966,541.0,0.894211970702175,0.0,12,14,15,15,16,31,35,35,35,35,35
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,18,0,15,15.111900444834545,10.125709002750227,28.53645900177071,541.0,0.6190698258707366,0.0,15,15,15,16,17,29,29,29,29,29,29
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,22,0,14,13.982897727063657,9.075375000975328,22.67504200062831,535.0,0.7566408982864558,0.0,15,15,16,16,17,20,23,23,23,23,23
GET,/api/search/videos?q=Python,29,0,10,9.387418068744692,4.405250001582317,15.70591700146906,118.0,0.9973902750139644,0.0,10,10,11,11,12,16,16,16,16,16,16
,Aggregated,458,0,11,11.56113920740005,2.804832998663187,52.908166999259265,1074.2620087336245,15.75188779159985,0.0,12,13,14,15,16,19,25,30,53,53,53
