Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,1095,0,3,4.377787838332232,1.6930830024648458,129.51341699954355,292.0,18.53189480153029,0.0,3,4,4,4,6,10,16,21,110,130,130
GET,/api/feed/hot,2170,0,9,16.147798187110997,4.175041998678353,225.63579200141248,1586.0,36.72530750622897,0.0,9,11,13,15,30,61,110,150,210,230,230
GET,/api/feed/recommend,3265,0,8,14.880132884581426,3.7407500021799933,253.79845799761824,1586.0,55.25720230775926,0.0,8,10,13,14,28,60,90,130,200,250,250
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,463,0,5,7.887725349909238,2.986625000630738,95.26120900045498,118.0,7.83586054165162,0.0,5,6,7,8,11,24,38,58,95,95,95
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,373,0,8,12.00704526268506,4.35345900041284,132.8612500001327,541.0,6.312691105909404,0.0,8,9,10,12,22,45,60,71,130,130,130
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,428,0,8,11.16068557712424,4.847125001106178,119.7140420008509,541.0,7.243516872196314,0.0,8,9,10,12,17,25,52,73,120,120,120
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,464,0,8,11.907999017137564,4.6993329997349065,163.83920799853513,535.0,7.8527846464932,0.0,8,9,11,12,19,34,50,72,160,160,160
GET,/api/search/videos?q=Python,459,0,5,8.187251520731303,2.8876249998575076,115.2335420010786,118.0,7.768164122285299,0.0,5,6,7,8,12,25,46,58,120,120,120
,Aggregated,8717,0,7,12.688850723428839,1.6930830024648458,253.79845799761824,1116.2128025696913,147.52742190405436,0.0,7,9,11,12,21,47,77,120,190,250,250
