Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,1111,0,3,3.9822132063444458,1.3093329034745693,34.85083393752575,292.0,18.792917238493544,0.0,3,4,4,4,5,6,18,23,31,35,35
GET,/api/feed/hot,2108,0,17,41.423203841123936,3.9477497339248657,411.4837502129376,1586.0,35.65748833370332,0.0,17,39,55,68,120,160,210,250,360,410,410
GET,/api/feed/recommend,3159,0,54,78.76923150168015,33.15283404663205,457.37083395943046,9091.0,53.435486549415934,0.0,54,78,94,110,150,200,260,300,380,460,460
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,415,0,5,6.617603185081697,2.563958056271076,54.28612511605024,118.0,7.019856574234762,0.0,5,6,7,7,10,12,29,40,54,54,54
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,444,0,9,10.489426857397497,5.388874560594559,49.258249811828136,541.0,7.510400768578878,0.0,9,10,11,12,15,19,28,39,49,49,49
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,447,0,9,10.045763511435698,5.380916874855757,48.60670818015933,541.0,7.561146719717924,0.0,9,10,10,11,14,18,25,37,49,49,49
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,431,0,9,9.886555779906823,5.36412512883544,52.985708229243755,535.0,7.2905016469763435,0.0,9,10,10,11,13,17,24,33,53,53,53
GET,/api/search/videos?q=Python,404,0,5,6.4044227583868665,2.6091248728334904,29.42466689273715,118.0,6.833788086724925,0.0,5,6,7,8,11,15,21,28,29,29,29
,Aggregated,8519,0,20,42.17853202896805,1.3093329034745693,457.37083395943046,3896.6342293696443,144.10158591784563,0.0,20,43,54,68,110,150,210,260,360,460,460
