Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,546,0,4,4.469775019943605,1.3260417617857456,28.14583294093609,292.0,9.218510707155206,0.0,4,4,4,4,5,17,25,25,28,28,28
GET,/api/feed/hot,1015,0,2300.0,2136.026126632164,4.584291018545628,4221.873791888356,1586.0,17.136975032532114,0.0,2300,2400,2500,2500,2600,2800,3100,3400,4100,4200,4200
GET,/api/feed/recommend,1576,0,2300.0,2131.9002802312366,34.1237080283463,5215.2613340877,9091.0,26.60874152834543,0.0,2300,2400,2500,2600,2700,2800,3300,3600,4600,5200,5200
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,219,0,5,5.751564901015938,2.700499724596739,34.85008282586932,118.0,3.697534514408407,0.0,5,5,6,6,7,12,23,33,35,35,35
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,199,0,8,9.111522214870956,5.537333898246288,30.315957963466644,541.0,3.3598601295309267,0.0,8,9,9,10,11,14,28,30,30,30,30
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,257,0,9,9.393269138171515,5.534667056053877,43.35412522777915,541.0,4.339115845675619,0.0,9,9,10,10,12,14,25,35,43,43,43
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,226,0,9,9.854918170670889,5.3153750486671925,45.06058292463422,535.0,3.815720549115525,0.0,9,9,9,10,14,19,34,39,45,45,45
GET,/api/search/videos?q=Python,226,0,5,6.276944705771398,2.692250069230795,40.39812507107854,118.0,3.815720549115525,0.0,5,6,6,6,9,14,32,35,40,40,40
,Aggregated,4264,0,1800.0,1299.1356740501014,1.3260417617857456,5215.2613340877,3873.5351782363978,71.99217885587875,0.0,1800,2300,2400,2400,2600,2700,3000,3300,4200,5200,5200
