Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/profile,53,0,6,6.391418264340829,2.794541000184836,19.079208999755792,292.0,1.8409620076292663,0.0,6,6,7,7,11,15,18,19,19,19,19
GET,/api/feed/hot,107,0,13,13.345333738249801,6.888916999741923,34.34974999981932,1586.0,3.716659147477953,0.0,13,14,14,15,17,21,33,34,34,34,34
GET,/api/feed/recommend,175,0,12,12.27795404569146,4.839916997298133,33.5839159997704,1586.0,6.078648138398521,0.0,12,13,13,14,17,21,31,33,34,34,34
GET,/api/search/videos?q=%E5%AF%BC%E6%95%B0,22,0,9,9.634068136702725,4.880584001512034,29.661667002073955,118.0,0.7641729088272426,0.0,10,10,10,10,11,11,30,30,30,30,30
GET,/api/search/videos?q=%E5%BE%AE%E7%A7%AF%E5%88%86,22,0,14,14.186128727901218,6.401458002073923,41.150083001411986,541.0,0.7641729088272426,0.0,14,15,15,15,17,20,41,41,41,41,41
GET,/api/search/videos?q=%E6%95%B0%E5%AD%A6,27,0,12,13.689970629558148,7.329708001634572,46.59070799971232,541.0,0.9378485699243433,0.0,12,14,15,15,16,18,47,47,47,47,47
GET,/api/search/videos?q=%E9%9B%85%E6%80%9D,21,0,12,12.942120904405048,6.476041002315469,21.643790998496115,535.0,0.7294377766078225,0.0,12,14,15,16,18,21,22,22,22,22,22
GET,/api/search/videos?q=Python,28,0,9,9.855732142438812,3.8153749992488883,22.862957997858757,118.0,0.9725837021437634,0.0,9,10,11,11,13,19,23,23,23,23,23
,Aggregated,455,0,12,11.773091017580105,2.794541000184836,46.59070799971232,1112.9054945054945,15.804485159836155,0.0,12,13,14,14,17,21,31,34,47,47,47
